EVA_ID,Station_Name,DS100,Country,UIC_Code
8100165,Bad Mitterndorf,OABM,Austria,81
8100672,Bad Mitterndorf-Heilbrunn,OABMH,Austria,81
8100453,Bad Neusiedl am See,OABNS,Austria,81
8101360,Bad Pirawarth,OAPIR,Austria,81
8100677,Bad Radkersburg,OABR,Austria,81
8100481,Bad Sauerbrunn,OASBR,Austria,81
8100021,Bad Schallerbach-Wallern,XASBW,Austria,81
8100391,Bad St. Leonhard,OABSL,Austria,81
8101718,Bad Vigaun,XAVN,Austria,81
8172156,"Bad Vigaun Bahnhst (Vorplatz), Österreich",PABVB,Austria,81
8100708,Bad Vöslau,OABV,Austria,81
8176208,Bad Vöslau Bahnhof (Vorplatz),PAARR,Austria,81
8100455,Bad Waltersdorf,OABW,Austria,81
8101849,Bad Wimsbach Steinfeld,OASEF,Austria,81
8100712,Bad Wimsbach Styriasiedlung,OABWS,Austria,81
8100711,Bad Wimsbach-Neydharting,OABWN,Austria,81
8100025,Baden b.Wien,OABA,Austria,81
8100646,"Baden b.Wien Bahnhof (Viadukt), Österreich",OABAV,Austria,81
8176206,Baden b.Wien Bahnhof (Vorplatz),PAARQ,Austria,81
8100645,"Baden b.Wien Josefsplatz (WLB), Österreich",OABAJ,Austria,81
8173096,"Baden b.Wien Landesklinikum (WLB), Österreich",PALKM,Austria,81
8101129,"Baden b.Wien Leesdorf (WLB), Österreich",OALEE,Austria,81
8101894,"Baden b.Wien Melkergründe (WLB), Österreich",PAM,Austria,81
8174006,"Badgasse, Wien (A)",PAWBS,Austria,81
8176342,"Bahnhof (Am Bahnhof), Kefermarkt (A)",PAAGI,Austria,81
8173007,"Bahnhof (B94), Steindorf am Ossiacher See (A)",PASO,Austria,81
8173170,"Bahnhof (Bahngasse), Bad Erlach (A)",PAATY,Austria,81
8180129,"Bahnhof (Bahnhofgasse), Ziersdorf (A)",PABBW,Austria,81
8182068,"Bahnhof (Bahnhofplatz), Korneuburg (A)",PAKBP,Austria,81
8176014,"Bahnhof (Bahnhofplatz), Mattersburg (A)",PAAGC,Austria,81
8175071,"Bahnhof (Bahnhofplatz), Mureck (A)",PAAYU,Austria,81
8177183,"Bahnhof (Bahnhofplatz), Mödling (A)",PAARU,Austria,81
8170127,"Bahnhof (Bahnhofplatz), Retz (A)",PARBV,Austria,81
8171018,"Bahnhof (Bahnhofplatz), Scheibbs (A)",PASBV,Austria,81
8172070,"Bahnhof (Bahnhofplatz), Stockerau (A)",PAAXC,Austria,81
8174101,"Bahnhof (Bahnhofring), Jennersdorf (A)",PAAKR,Austria,81
8179113,"Bahnhof (Bahnhofstr), Wartberg an der Krems (A)",PAACW,Austria,81
8172326,"Bahnhof (Bahnhofstraße), Admont (A)",PAAIQ,Austria,81
8164028,"Bahnhof (Bahnhofstraße), Andorf (A)",PAADB,Austria,81
8179299,"Bahnhof (Bahnhofstraße), Arnoldstein (A)",PAANZ,Austria,81
8175047,"Bahnhof (Bahnhofstraße), Bad Radkersburg (A)",PAAYS,Austria,81
8171065,"Bahnhof (Bahnhofstraße), Eggenburg (A)",PABBO,Austria,81
8174160,"Bahnhof (Bahnhofstraße), Fischamend (A)",PAFBB,Austria,81
8177207,"Bahnhof (Bahnhofstraße), Frankenmarkt (A)",PAASJ,Austria,81
8175018,"Bahnhof (Bahnhofstraße), Fürstenfeld (A)",PAAKG,Austria,81
8195001,"Bahnhof (Bahnhofstraße), Göpfritz an der Wild (A)",PABCA,Austria,81
8179064,"Bahnhof (Bahnhofstraße), Jenbach (A)",PAAMV,Austria,81
