origin_id,destination_id,origin_station_name,destination_station_name,min_duration_minutes,transfers,trains,check_date,origin_city_name,origin_eva_id,origin_latitude,origin_longitude,destination_city_name,destination_eva_id,destination_latitude,destination_longitude,route_length,hsr_share
8800004,8002549,Bruxelles Midi,Hamburg Hbf,349,2,,2026-01-06,Brussels,8800004,50.835376,4.335694,Hamburg,8002549,53.552736,10.006909,657.7297271690488,0.5611528355961253
8800004,8003368,Bruxelles Midi,Köln Messe/Deutz,119,2,,2026-01-06,Brussels,8800004,50.835376,4.335694,Cologne,8003368,50.940874,6.975001,224.6979106035976,0.6669869075450475
8800004,8000105,Bruxelles Midi,Frankfurt(Main)Hbf,182,0,,2026-01-06,Brussels,8800004,50.835376,4.335694,Frankfurt,8000105,50.1066819,8.66282825,403.9750828177118,0.7614320316939804
8800004,8000085,Bruxelles Midi,Düsseldorf Hbf,142,2,,2026-01-06,Brussels,8800004,50.835376,4.335694,Düsseldorf,8000085,51.219962,6.794319,263.94371966903054,0.6728723506582903
8800004,8010205,Bruxelles Midi,Leipzig Hbf,399,8,,2026-01-06,Brussels,8800004,50.835376,4.335694,Leipzig,8010205,51.3454712,12.3820639,778.292257177492,0.5943531978052032
8800004,8000080,Bruxelles Midi,Dortmund Hbf,191,2,,2026-01-06,Brussels,8800004,50.835376,4.335694,Dortmund,8000080,51.517896,7.45929,340.68770755239393,0.5781235065427126
8800004,8000098,Bruxelles Midi,Essen Hbf,168,2,,2026-01-06,Brussels,8800004,50.835376,4.335694,Essen,8000098,51.451355,7.014793,306.8139347319556,0.6419511952684274
8800004,8000050,Bruxelles Midi,Bremen Hbf,325,2,,2026-01-06,Brussels,8800004,50.835376,4.335694,Bremen,8000050,53.083481,8.813834,558.2816488430169,0.5508480006353127
8800004,8010085,Bruxelles Midi,Dresden Hbf,492,4,,2026-01-06,Brussels,8800004,50.835376,4.335694,Dresden,8010085,51.040563,13.732035,897.0755751385511,0.571087731076871
8800004,8000152,Bruxelles Midi,Hannover Hbf,294,2,,2026-01-06,Brussels,8800004,50.835376,4.335694,Hannover,8000152,52.376761,9.741021,520.6382479405606,0.4784387511083221
