origin_id,destination_id,origin_station_name,destination_station_name,min_duration_minutes,transfers,trains,check_date,origin_city_name,origin_eva_id,origin_latitude,origin_longitude,destination_city_name,destination_eva_id,destination_latitude,destination_longitude
8103000,8800007,Wien Hbf,Antwerpen Centraal,653,4,,2026-01-06,Vienna,8103000,48.185101,16.377113,Antwerp,8800007,51.215811,4.421168
8103000,5400014,Wien Hbf,Praha hl.n.,253,0,,2026-01-06,Vienna,8103000,48.185101,16.377113,Prague,5400014,50.083062,14.436039
8103000,8011160,Wien Hbf,Berlin Hbf,429,2,,2026-01-06,Vienna,8103000,48.185101,16.377113,Berlin,8011160,52.525592,13.369545
8103000,8000096,Wien Hbf,Stuttgart Hbf,391,2,,2026-01-06,Vienna,8103000,48.185101,16.377113,Stuttgart,8000096,48.78478,9.182757
8103000,8000261,Wien Hbf,München Hbf,253,2,,2026-01-06,Vienna,8103000,48.185101,16.377113,Munich,8000261,48.140232,11.558335
8103000,8002549,Wien Hbf,Hamburg Hbf,524,2,,2026-01-06,Vienna,8103000,48.185101,16.377113,Hamburg,8002549,53.552736,10.006909
8103000,8000105,Wien Hbf,Frankfurt(Main)Hbf,384,0,,2026-01-06,Vienna,8103000,48.185101,16.377113,Frankfurt,8000105,50.1066819,8.66282825
8103000,8000085,Wien Hbf,Düsseldorf Hbf,499,2,,2026-01-06,Vienna,8103000,48.185101,16.377113,Düsseldorf,8000085,51.219962,6.794319
8103000,8010205,Wien Hbf,Leipzig Hbf,378,4,,2026-01-06,Vienna,8103000,48.185101,16.377113,Leipzig,8010205,51.3454712,12.3820639
8103000,8000080,Wien Hbf,Dortmund Hbf,546,4,,2026-01-06,Vienna,8103000,48.185101,16.377113,Dortmund,8000080,51.517896,7.45929
8103000,8000098,Wien Hbf,Essen Hbf,525,2,,2026-01-06,Vienna,8103000,48.185101,16.377113,Essen,8000098,51.451355,7.014793
8103000,8000050,Wien Hbf,Bremen Hbf,514,4,,2026-01-06,Vienna,8103000,48.185101,16.377113,Bremen,8000050,53.083481,8.813834
8103000,8010085,Wien Hbf,Dresden Hbf,400,4,,2026-01-06,Vienna,8103000,48.185101,16.377113,Dresden,8010085,51.040563,13.732035
8103000,8000152,Wien Hbf,Hannover Hbf,439,2,,2026-01-06,Vienna,8103000,48.185101,16.377113,Hannover,8000152,52.376761,9.741021
8103000,8000284,Wien Hbf,Nürnberg Hbf,252,0,,2026-01-06,Vienna,8103000,48.185101,16.377113,Nuremberg,8000284,49.445616,11.082989
8103000,8000086,Wien Hbf,Duisburg Hbf,512,2,,2026-01-06,Vienna,8103000,48.185101,16.377113,Duisburg,8000086,51.429785,6.775903
8103000,8601242,Wien Hbf,Koebenhavns Lufthavn st,910,4,,2026-01-06,Vienna,8103000,48.185101,16.377113,Copenhagen,8601242,55.629605,12.649382
8103000,8800004,Wien Hbf,Bruxelles Midi,622,2,,2026-01-06,Vienna,8103000,48.185101,16.377113,Brussels,8800004,50.835376,4.335694
8103000,8800007,Wien Hbf,Antwerpen Centraal,653,4,,2026-01-06,Vienna,8103000,48.185101,16.377113,Antwerp,8800007,51.215811,4.421168
8103000,5400014,Wien Hbf,Praha hl.n.,253,0,,2026-01-06,Vienna,8103000,48.185101,16.377113,Prague,5400014,50.083062,14.436039
8103000,8011160,Wien Hbf,Berlin Hbf,429,2,,2026-01-06,Vienna,8103000,48.185101,16.377113,Berlin,8011160,52.525592,13.369545
8103000,8000096,Wien Hbf,Stuttgart Hbf,391,2,,2026-01-06,Vienna,8103000,48.185101,16.377113,Stuttgart,8000096,48.78478,9.182757
8103000,8000261,Wien Hbf,München Hbf,253,2,,2026-01-06,Vienna,8103000,48.185101,16.377113,Munich,8000261,48.140232,11.558335
8103000,8002549,Wien Hbf,Hamburg Hbf,524,2,,2026-01-06,Vienna,8103000,48.185101,16.377113,Hamburg,8002549,53.552736,10.006909
8103000,8000105,Wien Hbf,Frankfurt(Main)Hbf,384,0,,2026-01-06,Vienna,8103000,48.185101,16.377113,Frankfurt,8000105,50.1066819,8.66282825
8103000,8000085,Wien Hbf,Düsseldorf Hbf,499,2,,2026-01-06,Vienna,8103000,48.185101,16.377113,Düsseldorf,8000085,51.219962,6.794319
8103000,8010205,Wien Hbf,Leipzig Hbf,378,4,,2026-01-06,Vienna,8103000,48.185101,16.377113,Leipzig,8010205,51.3454712,12.3820639
8103000,8000080,Wien Hbf,Dortmund Hbf,546,4,,2026-01-06,Vienna,8103000,48.185101,16.377113,Dortmund,8000080,51.517896,7.45929
8103000,8000098,Wien Hbf,Essen Hbf,525,2,,2026-01-06,Vienna,8103000,48.185101,16.377113,Essen,8000098,51.451355,7.014793
8103000,8000050,Wien Hbf,Bremen Hbf,514,4,,2026-01-06,Vienna,8103000,48.185101,16.377113,Bremen,8000050,53.083481,8.813834
8103000,8010085,Wien Hbf,Dresden Hbf,400,4,,2026-01-06,Vienna,8103000,48.185101,16.377113,Dresden,8010085,51.040563,13.732035
8103000,8000152,Wien Hbf,Hannover Hbf,439,2,,2026-01-06,Vienna,8103000,48.185101,16.377113,Hannover,8000152,52.376761,9.741021
8103000,8000284,Wien Hbf,Nürnberg Hbf,252,0,,2026-01-06,Vienna,8103000,48.185101,16.377113,Nuremberg,8000284,49.445616,11.082989
8103000,8000086,Wien Hbf,Duisburg Hbf,512,2,,2026-01-06,Vienna,8103000,48.185101,16.377113,Duisburg,8000086,51.429785,6.775903
