,origin_id,destination_id,origin_name,destination_name,min_duration_minutes,transfers,trains,check_date,hsr_share,uses_hsr
81,8800004,5100069,Bruxelles Midi,Wroclaw Glowny,683,4,,2026-01-06,0.014144876293781814,False
82,8800004,5100081,Bruxelles Midi,Poznan Glowny,608,4,,2026-01-06,0.20075758922622056,False
83,8800004,7400002,Bruxelles Midi,Stockholm Central,1171,4,,2026-01-06,0.3147017011169308,False
84,8800004,7900003,Bruxelles Midi,Ljubljana,833,6,,2026-01-06,0.2144209246560011,False
85,8800004,5600207,Bruxelles Midi,Bratislava hl.st.,705,4,,2026-01-06,0.3251853996413454,False
86,8800007,8103000,Antwerpen Centraal,Wien Hbf,653,4,,2026-01-06,0.2996222261926333,False
87,8800007,8800004,Antwerpen Centraal,Bruxelles Midi,33,0,,2026-01-06,0.0,False
88,8800007,5400014,Antwerpen Centraal,Praha hl.n.,691,6,,2026-01-06,0.20779817661008312,False
89,8800007,8011160,Antwerpen Centraal,Berlin Hbf,421,4,,2026-01-06,0.2830996604679005,False
90,8800007,8000096,Antwerpen Centraal,Stuttgart Hbf,317,4,,2026-01-06,0.14456007467018478,False
91,8800007,8000261,Antwerpen Centraal,München Hbf,433,4,,2026-01-06,0.23918150113061093,False
92,8800007,8002549,Antwerpen Centraal,Hamburg Hbf,380,4,,2026-01-06,0.3194144891287995,False
93,8800007,8003368,Antwerpen Centraal,Köln Messe/Deutz,152,4,,2026-01-06,0.004998010079170937,False
94,8800007,8000105,Antwerpen Centraal,Frankfurt(Main)Hbf,213,2,,2026-01-06,0.35188035159641007,False
95,8800007,8000085,Antwerpen Centraal,Düsseldorf Hbf,173,4,,2026-01-06,0.0,False
96,8800007,8010205,Antwerpen Centraal,Leipzig Hbf,435,4,,2026-01-06,0.022189667876761673,False
97,8800007,8000080,Antwerpen Centraal,Dortmund Hbf,236,6,,2026-01-06,0.0,False
98,8800007,8000098,Antwerpen Centraal,Essen Hbf,209,8,,2026-01-06,0.0,False
99,8800007,8000050,Antwerpen Centraal,Bremen Hbf,339,8,,2026-01-06,0.08947019505477913,False
100,8800007,8010085,Antwerpen Centraal,Dresden Hbf,523,6,,2026-01-06,0.08052903354397453,False
101,8800007,8000152,Antwerpen Centraal,Hannover Hbf,325,4,,2026-01-06,0.24336676582590056,False
102,8800007,8000284,Antwerpen Centraal,Nürnberg Hbf,364,4,,2026-01-06,0.32194941163084995,False
103,8800007,8000086,Antwerpen Centraal,Duisburg Hbf,189,4,,2026-01-06,0.0,False
104,8800007,8601242,Antwerpen Centraal,Koebenhavns Lufthavn st,754,8,,2026-01-06,0.21326681278652868,False
105,8800007,7100064,Antwerpen Centraal,Barcelona Sants,590,4,,2026-01-06,0.5291411978284055,True
106,8800007,8700012,Antwerpen Centraal,Paris Gare de Lyon,154,4,,2026-01-06,0.13715111933067525,False
107,8800007,8700047,Antwerpen Centraal,Bordeaux-St-Jean,313,2,,2026-01-06,0.6125525278707761,True
108,8800007,8700074,Antwerpen Centraal,Marseille-St-Charles,381,2,,2026-01-06,0.5554559897649322,True
109,8800007,8700152,Antwerpen Centraal,Lyon Part Dieu,289,2,,2026-01-06,0.6018681700455698,True
110,8800007,8700065,Antwerpen Centraal,Toulouse-Matabiau,475,2,,2026-01-06,0.13001600362625926,False
111,8800007,7800020,Antwerpen Centraal,Zagreb Glavni kolodvor,1145,6,,2026-01-06,0.15447430540135912,False
112,8800007,5500728,Antwerpen Centraal,Budapest-Nyugati,895,7,,2026-01-06,0.24548777884992456,False
113,8800007,8300262,Antwerpen Centraal,Roma Tiburtina,847,4,,2026-01-06,0.2848669669513762,False
120,8800007,8300047,Antwerpen Centraal,Milano Porta Garibaldi,601,4,,2026-01-06,0.09660078433548201,False
121,8800007,8300522,Antwerpen Centraal,Torino Porta Susa,522,2,,2026-01-06,0.0,False
122,8800007,8300153,Antwerpen Centraal,Genova Piazza Principe,657,4,,2026-01-06,0.0,False
123,8800007,8200100,Antwerpen Centraal,Luxembourg,235,2,,2026-01-06,0.0,False
124,8800007,8400597,Antwerpen Centraal,Tilburg,58,2,,2026-01-06,0.5198777977098498,True
125,8800007,8400058,Antwerpen Centraal,Amsterdam Centraal,80,0,,2026-01-06,0.23690562186324998,False
126,8800007,8400530,Antwerpen Centraal,Rotterdam Centraal,32,0,,2026-01-06,0.0,False
127,8800007,5100065,Antwerpen Centraal,Warszawa Centralna,745,8,,2026-01-06,0.15888557983357576,False
128,8800007,5100028,Antwerpen Centraal,Krakow Glowny,1020,6,,2026-01-06,0.01161390773588092,False
129,8800007,5100069,Antwerpen Centraal,Wroclaw Glowny,740,6,,2026-01-06,0.014542680266987688,False
130,8800007,5100081,Antwerpen Centraal,Poznan Glowny,598,8,,2026-01-06,0.20659135883452465,False
131,8800007,7400002,Antwerpen Centraal,Stockholm Central,1166,6,,2026-01-06,0.3329601747661143,False
132,8800007,7900003,Antwerpen Centraal,Ljubljana,924,6,,2026-01-06,0.17272387292856767,False
133,8800007,5600207,Antwerpen Centraal,Bratislava hl.st.,736,6,,2026-01-06,0.28336930516191916,False
134,5400014,8103000,Praha hl.n.,Wien Hbf,252,2,,2026-01-06,0.11992859023464418,False
135,5400014,8800004,Praha hl.n.,Bruxelles Midi,660,8,,2026-01-06,0.2593409374174651,False
136,5400014,8800007,Praha hl.n.,Antwerpen Centraal,695,6,,2026-01-06,0.20779817661008212,False
137,5400014,8011160,Praha hl.n.,Berlin Hbf,237,0,,2026-01-06,0.1361029092285304,False
138,5400014,8000096,Praha hl.n.,Stuttgart Hbf,447,4,,2026-01-06,0.0,False
139,5400014,8000261,Praha hl.n.,München Hbf,341,0,,2026-01-06,0.0,False
140,5400014,8002549,Praha hl.n.,Hamburg Hbf,400,2,,2026-01-06,0.0735370337804218,False
141,5400014,8003368,Praha hl.n.,Köln Messe/Deutz,519,4,,2026-01-06,0.26932793845339875,False
142,5400014,8000105,Praha hl.n.,Frankfurt(Main)Hbf,433,4,,2026-01-06,0.10389648273716887,False
143,5400014,8000085,Praha hl.n.,Düsseldorf Hbf,519,2,,2026-01-06,0.2746772241867157,False
144,5400014,8010205,Praha hl.n.,Leipzig Hbf,240,2,,2026-01-06,0.15348941740163824,False
145,5400014,8000080,Praha hl.n.,Dortmund Hbf,460,2,,2026-01-06,0.10844870105435206,False
146,5400014,8000098,Praha hl.n.,Essen Hbf,486,2,,2026-01-06,0.08303589835620091,False
147,5400014,8000050,Praha hl.n.,Bremen Hbf,439,4,,2026-01-06,0.019289260185861405,False
148,5400014,8010085,Praha hl.n.,Dresden Hbf,139,0,,2026-01-06,0.0,False
149,5400014,8000152,Praha hl.n.,Hannover Hbf,357,2,,2026-01-06,0.0,False
150,5400014,8000284,Praha hl.n.,Nürnberg Hbf,280,2,,2026-01-06,0.0,False
151,5400014,8000086,Praha hl.n.,Duisburg Hbf,500,2,,2026-01-06,0.08097542527074793,False
152,5400014,8601242,Praha hl.n.,Koebenhavns Lufthavn st,892,2,,2026-01-06,0.2142260273383272,False
153,5400014,7100064,Praha hl.n.,Barcelona Sants,1492,6,,2026-01-06,0.225251475217817,False
154,5400014,8700012,Praha hl.n.,Paris Gare de Lyon,921,6,,2026-01-06,0.3569727962397062,False
155,5400014,8700047,Praha hl.n.,Bordeaux-St-Jean,1063,6,,2026-01-06,0.5473583442829805,True
156,5400014,8700074,Praha hl.n.,Marseille-St-Charles,1123,6,,2026-01-06,0.1766433732185077,False
157,5400014,8700152,Praha hl.n.,Lyon Part Dieu,988,6,,2026-01-06,0.10088008668694128,False
158,5400014,8700065,Praha hl.n.,Toulouse-Matabiau,1244,8,,2026-01-06,0.12014908507900067,False
159,5400014,7800020,Praha hl.n.,Zagreb Glavni kolodvor,719,4,,2026-01-06,0.059228104468766855,False
160,5400014,5500728,Praha hl.n.,Budapest-Nyugati,411,0,,2026-01-06,0.0,False
161,5400014,8300262,Praha hl.n.,Roma Tiburtina,993,8,,2026-01-06,0.2656112524074877,False
162,5400014,8300047,Praha hl.n.,Milano Porta Garibaldi,868,6,,2026-01-06,0.03177627985220598,False
163,5400014,8300522,Praha hl.n.,Torino Porta Susa,1067,8,,2026-01-06,0.1309401319324215,False
164,5400014,8300153,Praha hl.n.,Genova Piazza Principe,1183,8,,2026-01-06,0.028118194381891806,False
174,5400014,7900003,Praha hl.n.,Ljubljana,615,6,,2026-01-06,0.07324118941990616,False
175,5400014,5600207,Praha hl.n.,Bratislava hl.st.,265,0,,2026-01-06,0.0,False
176,8011160,8103000,Berlin Hbf,Wien Hbf,431,2,,2026-01-06,0.07460186098587789,False
177,8011160,8800004,Berlin Hbf,Bruxelles Midi,391,2,,2026-01-06,0.2722582557823033,False
178,8011160,8800007,Berlin Hbf,Antwerpen Centraal,422,4,,2026-01-06,0.2830996604678995,False
179,8011160,5400014,Berlin Hbf,Praha hl.n.,237,0,,2026-01-06,0.13610290922853077,False
180,8011160,8000096,Berlin Hbf,Stuttgart Hbf,317,2,,2026-01-06,0.4647279621433669,False
181,8011160,8000261,Berlin Hbf,München Hbf,235,0,,2026-01-06,0.6493484756101154,True
182,8011160,8002549,Berlin Hbf,Hamburg Hbf,148,0,,2026-01-06,0.8536000895247157,True
183,8011160,8003368,Berlin Hbf,Köln Messe/Deutz,251,2,,2026-01-06,0.3392798945262665,False
184,8011160,8000105,Berlin Hbf,Frankfurt(Main)Hbf,231,0,,2026-01-06,0.4498311167541085,False
185,8011160,8000085,Berlin Hbf,Düsseldorf Hbf,254,2,,2026-01-06,0.3812589114117267,False
186,8011160,8010205,Berlin Hbf,Leipzig Hbf,75,0,,2026-01-06,0.7760407747158301,True
187,8011160,8000080,Berlin Hbf,Dortmund Hbf,204,0,,2026-01-06,0.43830060848838365,False
188,8011160,8000098,Berlin Hbf,Essen Hbf,229,0,,2026-01-06,0.4083384897096293,False
189,8011160,8000050,Berlin Hbf,Bremen Hbf,164,0,,2026-01-06,0.0995999131705266,False
190,8011160,8010085,Berlin Hbf,Dresden Hbf,99,0,,2026-01-06,0.2847571157518907,False
191,8011160,8000152,Berlin Hbf,Hannover Hbf,93,0,,2026-01-06,0.35479496765425395,False
192,8011160,8000284,Berlin Hbf,Nürnberg Hbf,166,0,,2026-01-06,0.658665270546178,True
193,8011160,8000086,Berlin Hbf,Duisburg Hbf,242,0,,2026-01-06,0.39309142106278977,False
194,8011160,8601242,Berlin Hbf,Koebenhavns Lufthavn st,500,4,,2026-01-06,0.2516463709524352,False
195,8011160,7100064,Berlin Hbf,Barcelona Sants,1024,4,,2026-01-06,0.36463952488000856,False
196,8011160,8700012,Berlin Hbf,Paris Gare de Lyon,531,6,,2026-01-06,0.27584371365284943,False
197,8011160,8700047,Berlin Hbf,Bordeaux-St-Jean,673,6,,2026-01-06,0.5000357930110524,True
