origin_city,destination_city,air_origin_airport,air_destination_airport,air_distance_km,air_flight_duration_min,air_total_travel_time_min,air_overhead_min,origin_city_lat,origin_city_lng,destination_city_lat,destination_city_lng,rail_origin_station_name,rail_destination_station_name,rail_travel_time_mins,rail_uses_hsr,rail_origin_transit_time_mins,rail_destination_transit_time_mins,rail_total_travel_time_min,best_time_min
Amsterdam,Zagreb,AMS,ZAG,1101.0,110.0,263.52,153.51999999999998,52.3728,4.8936,45.8131,15.9775,Amsterdam Centraal,Zagreb Glavni kolodvor,1072.0,False,1.9520337879727412,2.3224288673449607,1086.2744626553178,263.52
Antwerp,Amsterdam,,,,,,,,,,,Antwerpen Centraal,Amsterdam Centraal,80.0,False,3.5284359653773953,1.9520337879727412,95.48046975335014,95.48046975335014
Antwerp,Barcelona,,,,,,,,,,,Antwerpen Centraal,Barcelona Sants,590.0,True,3.5284359653773953,7.388093774297752,610.9165297396752,610.9165297396752
Antwerp,Berlin,,,,,,,,,,,Antwerpen Centraal,Berlin Hbf,421.0,False,3.5284359653773953,5.947266480604848,440.4757024459823,440.4757024459823
Antwerp,Bordeaux,,,,,,,,,,,Antwerpen Centraal,Bordeaux-St-Jean,313.0,True,3.5284359653773953,5.811588377462907,332.3400243428403,332.3400243428403
Antwerp,Bratislava,,,,,,,,,,,Antwerpen Centraal,Bratislava hl.st.,736.0,False,3.5284359653773953,4.046858342350235,753.5752943077276,753.5752943077276
Antwerp,Bremen,,,,,,,,,,,Antwerpen Centraal,Bremen Hbf,339.0,False,3.5284359653773953,2.309271364404068,354.8377073297815,354.8377073297815
Antwerp,Brussels,,,,,,,,,,,Antwerpen Centraal,Bruxelles Midi,33.0,False,3.5284359653773953,4.14169289941754,50.67012886479494,50.67012886479494
Antwerp,Budapest,,,,,,,,,,,Antwerpen Centraal,Budapest-Nyugati,895.0,False,3.5284359653773953,4.980157462200125,913.5085934275776,913.5085934275776
Antwerp,Cologne,,,,,,,,,,,Antwerpen Centraal,Köln Messe/Deutz,152.0,False,3.5284359653773953,3.9197525107529603,169.44818847613035,169.44818847613035
Antwerp,Copenhagen,,,,,,,,,,,Antwerpen Centraal,Koebenhavns Lufthavn st,754.0,False,3.5284359653773953,17.4069941581493,784.9354301235267,784.9354301235267
Antwerp,Dortmund,,,,,,,,,,,Antwerpen Centraal,Dortmund Hbf,236.0,False,3.5284359653773953,1.460615015563283,250.98905098094068,250.98905098094068
Antwerp,Dresden,,,,,,,,,,,Antwerpen Centraal,Dresden Hbf,523.0,False,3.5284359653773953,2.8510360388781235,539.3794720042555,539.3794720042555
Antwerp,Duisburg,,,,,,,,,,,Antwerpen Centraal,Duisburg Hbf,189.0,False,3.5284359653773953,2.5870950877797454,205.11553105315713,205.11553105315713
Antwerp,Düsseldorf,,,,,,,,,,,Antwerpen Centraal,Düsseldorf Hbf,173.0,False,3.5284359653773953,4.00763955017613,190.5360755155535,190.5360755155535
Antwerp,Essen,,,,,,,,,,,Antwerpen Centraal,Essen Hbf,209.0,False,3.5284359653773953,0.31813865528361085,222.846574620661,222.846574620661
Antwerp,Frankfurt,,,,,,,,,,,Antwerpen Centraal,Frankfurt(Main)Hbf,213.0,False,3.5284359653773953,3.4764728210122846,230.00490878638968,230.00490878638968
Antwerp,Genoa,,,,,,,,,,,Antwerpen Centraal,Genova Piazza Principe,657.0,False,3.5284359653773953,2.6646692679586454,673.193105233336,673.193105233336
Antwerp,Hamburg,,,,,,,,,,,Antwerpen Centraal,Hamburg Hbf,380.0,False,3.5284359653773953,1.316441566346405,394.8448775317238,394.8448775317238
Antwerp,Hannover,,,,,,,,,,,Antwerpen Centraal,Hannover Hbf,325.0,False,3.5284359653773953,4.786629448184535,343.31506541356197,343.31506541356197
Antwerp,Kraków,,,,,,,,,,,Antwerpen Centraal,Krakow Glowny,1020.0,False,3.5284359653773953,2.336597225946072,1035.8650331913234,1035.8650331913234
Antwerp,Leipzig,,,,,,,,,,,Antwerpen Centraal,Leipzig Hbf,435.0,False,3.5284359653773953,1.875769965295063,450.40420593067245,450.40420593067245
Antwerp,Ljubljana,,,,,,,,,,,Antwerpen Centraal,Ljubljana,924.0,False,3.5284359653773953,2.321449509647903,939.8498854750253,939.8498854750253
Antwerp,Luxembourg,,,,,,,,,,,Antwerpen Centraal,Luxembourg,235.0,False,3.5284359653773953,3.2276729444989756,251.75610890987636,251.75610890987636
Antwerp,Lyon,,,,,,,,,,,Antwerpen Centraal,Lyon Part Dieu,289.0,True,3.5284359653773953,3.7248506527149634,306.2532866180924,306.2532866180924
Antwerp,Marseille,,,,,,,,,,,Antwerpen Centraal,Marseille-St-Charles,381.0,True,3.5284359653773953,3.0494630085437278,397.57789897392115,397.57789897392115
