departure_city_name,departure_airport_code,arrival_city_name,arrival_airport_code,distance_km,flight_duration_minutes,total_travel_time_mins
milan,BGY,valencia,VLC,1079,120,321.01
milan,BGY,prague,PRG,600,85,289.85
milan,BGY,budapest,BUD,758,90,303.69
milan,BGY,krakow,KRK,899,105,308.54
milan,BGY,lisbon,LIS,1727,175,370.98
milan,BGY,paris,BVA,709,85,376.93
milan,BGY,madrid,MAD,1221,140,349.45
milan,BGY,warsaw,WAW,1096,120,318.59
milan,BGY,malaga,AGP,1549,155,354.88
milan,BGY,tilburg,EIN,718,100,323.52
milan,BGY,berlin,BER,795,100,315.46
milan,BGY,cologne,CGN,610,90,298.28
milan,BGY,stockholm,ARN,1649,160,402.71
milan,BGY,poznan,POZ,912,105,303.7
milan,BGY,vilnius,VNO,1489,145,340.36
milan,BGY,rome,FCO,476,80,301.24
milan,BGY,athens,ATH,1458,140,357.81
milan,BGY,bratislava,BTS,636,85,285.26
milan,BGY,helsinki,HEL,1915,180,392.66
milan,BGY,luxembourg,LUX,512,80,276.99
milan,BGY,dusseldorf,DUS,660,95,290.73
milan,BGY,hamburg,HAM,886,110,311.57
milan,BGY,zagreb,ZAG,495,75,279.52
milan,BGY,dusseldorf,NRN,709,95,372.8
milan,BGY,toulouse,TLS,697,100,297.43
milan,BGY,bordeaux,BOD,821,100,302.53
milan,BGY,marseille,MRS,432,75,293.15
milan,BGY,gothenburg,GOT,1347,140,357.97
milan,BGY,riga,RIX,1593,160,360.36
milan,BGY,tallinn,TLL,1832,180,373.68
milan,BGY,hannover,HAJ,755,100,303.6
milan,BGY,rotterdam,RTM,798,100,294.79
milan,BGY,sevilla,SVQ,1586,160,361.15
milan,BGY,zaragoza,ZAZ,970,115,318.64
milan,BGY,paris,CDG,653,95,316.93
stockholm,BMA,gothenburg,GOT,379,65,226.28
stockholm,BMA,helsinki,HEL,407,73,228.96
bordeaux,BOD,paris,CDG,526,85,253.46
bordeaux,BOD,lyon,LYS,464,70,233.23
bordeaux,BOD,marseille,MRS,498,70,234.68
bordeaux,BOD,amsterdam,AMS,923,105,256.53
bordeaux,BOD,madrid,MAD,536,85,240.98
bordeaux,BOD,barcelona,BCN,452,75,227.88
bordeaux,BOD,frankfurt,FRA,907,110,260.04
bordeaux,BOD,lisbon,LIS,970,120,262.51
bordeaux,BOD,athens,ATH,2188,195,359.33
bordeaux,BOD,brussels,CRL,735,95,295.04
bordeaux,BOD,malaga,AGP,960,115,261.4
bordeaux,BOD,munich,MUC,1032,110,287.69
bordeaux,BOD,milan,MXP,744,95,291.41
bordeaux,BOD,milan,BGY,821,100,302.53
bordeaux,BOD,naples,NAP,1299,135,279.78
bordeaux,BOD,berlin,BER,1337,145,306.99
bordeaux,BOD,rome,FCO,1102,125,292.77
bordeaux,BOD,stuttgart,STR,868,105,254.08
bordeaux,BOD,dusseldorf,DUS,906,110,252.26
bordeaux,BOD,hamburg,HAM,1248,135,283.1
bordeaux,BOD,luxembourg,LUX,746,110,253.52
bordeaux,BOD,prague,PRG,1268,133,284.38
bordeaux,BOD,sevilla,SVQ,930,105,252.68
