from_city_name,from_airport_code,to_city_name,to_airport_code,distance_km,flight_duration_minutes,total_journey_time_mins
Stockholm,ARN,Las Palmas,LPA,4336,355,562.82
Stockholm,ARN,Luxembourg,LUX,1343,165,348.7
Stockholm,ARN,Paris,ORY,1576,175,371.15
Stockholm,ARN,Zagreb,ZAG,1553,145,336.23
Stockholm,ARN,Paris,BVA,1520,155,433.64
Stockholm,ARN,Valencia,VLC,2587,235,422.73
Stockholm,ARN,Malta,MLA,2657,235,418.13
Stockholm,ARN,Turin,TRN,1749,170,363.83
Stockholm,ARN,Hanover,HAJ,949,105,295.31
Stockholm,ARN,Lyon,LYS,1769,165,368.42
Stockholm,ARN,Marseille,MRS,1999,195,399.87
Stockholm,ARN,Naples,NAP,2102,195,379.97
Stockholm,ARN,Bucharest,OTP,1765,165,363.06
Stockholm,ARN,Palermo,PMO,2411,215,424.46
Stockholm,ARN,Sevilla,SVQ,2998,270,457.86
Athens,ATH,Larnaca,LCA,930,95,305.08
Athens,ATH,Rome,FCO,1087,125,308.05
Athens,ATH,Paris,CDG,2110,210,393.74
Athens,ATH,Munich,MUC,1518,160,352.97
Athens,ATH,Frankfurt,FRA,1818,185,350.32
Athens,ATH,Milan,MXP,1523,160,371.69
Athens,ATH,Amsterdam,AMS,2184,220,386.81
Athens,ATH,Madrid,MAD,2383,235,406.26
Athens,ATH,Vienna,VIE,1279,140,315.7
Athens,ATH,Barcelona,BCN,1909,195,363.16
Athens,ATH,Brussels,BRU,2103,200,365.97
Athens,ATH,Bucharest,OTP,758,95,268.15
Athens,ATH,Warsaw,WAW,1598,155,315.39
Athens,ATH,Paris,ORY,2109,215,386.24
Athens,ATH,Copenhagen,CPH,2141,200,360.64
Athens,ATH,Berlin,BER,1797,175,352.27
Athens,ATH,Dusseldorf,DUS,2004,195,352.54
Athens,ATH,Naples,NAP,893,110,270.06
Athens,ATH,Sofia,SOF,529,75,235.34
Athens,ATH,Budapest,BUD,1122,130,305.5
Athens,ATH,Lisbon,LIS,2876,275,432.79
Athens,ATH,Malta,MLA,873,110,268.22
Athens,ATH,Prague,PRG,1556,160,326.66
Athens,ATH,Stockholm,ARN,2452,220,424.52
Athens,ATH,Dublin,DUB,2879,270,432.8
Athens,ATH,Lyon,LYS,1783,185,363.51
Athens,ATH,Brussels,CRL,2077,205,420.32
Athens,ATH,Bordeaux,BOD,2188,215,379.33
Athens,ATH,Hamburg,HAM,2045,195,358.38
Athens,ATH,Marseille,MRS,1692,175,354.96
Athens,ATH,Milan,BGY,1458,150,367.81
Athens,ATH,Cologne,CGN,1956,190,360.09
Athens,ATH,Krakow,KRK,1388,145,310.34
Athens,ATH,Malaga,AGP,2515,240,401.68
Athens,ATH,Helsinki,HEL,2490,215,389.47
Athens,ATH,Riga,RIX,2110,195,357.17
Athens,ATH,Stuttgart,STR,1685,170,334.36
Athens,ATH,Eindhoven,EIN,2090,205,390.33
Athens,ATH,Toulouse,TLS,2000,195,354.24
Athens,ATH,Vilnius,VNO,1859,175,332.17
Athens,ATH,Luxembourg,LUX,1921,185,343.8
Athens,ATH,Zagreb,ZAG,1084,120,286.33
Athens,ATH,Bratislava,BTS,1261,130,292.07
Athens,ATH,Hanover,HAJ,1956,185,350.41
Athens,ATH,Valencia,VLC,2124,195,357.82
Athens,ATH,Nuremberg,NUE,1645,160,316.52
Athens,ATH,Palermo,PMO,951,115,299.55
Athens,ATH,Tallinn,TLL,2389,220,375.49
Athens,ATH,Ljubljana,LJU,1208,125,305.34
Athens,ATH,Sevilla,SVQ,2622,240,402.96
Athens,ATH,Gothenburg,GOT,2353,210,389.78
Athens,ATH,Las Palmas,LPA,3810,350,532.92
Bucharest,BBU,Madrid,MAD,2463,250,402.38
Bucharest,BBU,Malaga,AGP,2711,255,397.8
Bucharest,BBU,Sevilla,SVQ,2784,260,404.08
Barcelona,BCN,Madrid,MAD,483,85,244.81
Barcelona,BCN,Rome,FCO,850,110,281.6
Barcelona,BCN,Amsterdam,AMS,1240,150,305.36
Barcelona,BCN,Milan,MXP,720,105,305.24
Barcelona,BCN,Paris,CDG,856,120,292.28
