origin_id,destination_id,origin_name,destination_name,min_duration_minutes,transfers,trains,check_date
8000096,8200100,Stuttgart Hbf,Luxembourg,203,2,,2026-01-06
8000096,8400597,Stuttgart Hbf,Tilburg,316,8,,2026-01-06
8000096,8400058,Stuttgart Hbf,Amsterdam Centraal,303,2,,2026-01-06
8000096,8400530,Stuttgart Hbf,Rotterdam Centraal,314,4,,2026-01-06
8000096,5100065,Stuttgart Hbf,Warszawa Centralna,651,4,,2026-01-06
8000096,5100028,Stuttgart Hbf,Krakow Glowny,732,4,,2026-01-06
8000096,5100069,Stuttgart Hbf,Wroclaw Glowny,501,4,,2026-01-06
8000096,5100081,Stuttgart Hbf,Poznan Glowny,504,4,,2026-01-06
8000096,7400002,Stuttgart Hbf,Stockholm Central,1069,4,,2026-01-06
8000096,7900003,Stuttgart Hbf,Ljubljana,491,2,,2026-01-06
8000096,5600207,Stuttgart Hbf,Bratislava hl.st.,475,6,,2026-01-06
8000261,8103000,München Hbf,Wien Hbf,256,2,,2026-01-06
8000261,8800004,München Hbf,Bruxelles Midi,403,2,,2026-01-06
8000261,8800007,München Hbf,Antwerpen Centraal,434,4,,2026-01-06
8000261,5400014,München Hbf,Praha hl.n.,337,0,,2026-01-06
8000261,8011160,München Hbf,Berlin Hbf,232,0,,2026-01-06
8000261,8000096,München Hbf,Stuttgart Hbf,118,0,,2026-01-06
8000261,8002549,München Hbf,Hamburg Hbf,335,0,,2026-01-06
8000261,8003368,München Hbf,Köln Messe/Deutz Gl.11-12,250,0,,2026-01-06
8000261,8000105,München Hbf,Frankfurt(Main)Hbf,202,2,,2026-01-06
8000261,8000085,München Hbf,Düsseldorf Hbf,274,0,,2026-01-06
8000261,8010205,München Hbf,Leipzig Hbf,184,2,,2026-01-06
8000261,8000080,München Hbf,Dortmund Hbf,328,0,,2026-01-06
8000261,8000098,München Hbf,Essen Hbf,303,0,,2026-01-06
8000261,8000050,,,-1,0,,2026-01-06
8000261,8010085,,,-1,0,,2026-01-06
8000261,8000152,,,-1,0,,2026-01-06
8000261,8000284,,,-1,0,,2026-01-06
8000261,8000086,,,-1,0,,2026-01-06
8000261,8601242,,,-1,0,,2026-01-06
8000261,7100064,,,-1,0,,2026-01-06
8000261,8700012,,,-1,0,,2026-01-06
8800007,5600207,,,-1,0,,2026-01-06
5400014,8103000,,,-1,0,,2026-01-06
5400014,8800004,,,-1,0,,2026-01-06
5400014,8800007,,,-1,0,,2026-01-06
5400014,8011160,,,-1,0,,2026-01-06
5400014,8000096,,,-1,0,,2026-01-06
5400014,8000261,,,-1,0,,2026-01-06
5400014,8002549,,,-1,0,,2026-01-06
5400014,8003368,,,-1,0,,2026-01-06
5400014,8200100,Praha hl.n.,Luxembourg,674,8,,2026-01-06
5400014,8400597,Praha hl.n.,Tilburg,675,8,,2026-01-06
5400014,8400058,Praha hl.n.,Amsterdam Centraal,658,4,,2026-01-06
5400014,8400530,Praha hl.n.,Rotterdam Centraal,669,6,,2026-01-06
5400014,5100065,Praha hl.n.,Warszawa Centralna,491,2,,2026-01-06
5400014,5100028,Praha hl.n.,Krakow Glowny,349,2,,2026-01-06
5400014,5100069,Praha hl.n.,Wroclaw Glowny,237,0,,2026-01-06
5400014,5100081,Praha hl.n.,Poznan Glowny,335,2,,2026-01-06
5400014,7400002,Praha hl.n.,Stockholm Central,1222,8,,2026-01-06
8000261,8000050,München Hbf,Bremen Hbf,323,2,,2026-01-06
8000261,8010085,München Hbf,Dresden Hbf,256,2,,2026-01-06
8000261,8000152,München Hbf,Hannover Hbf,250,0,,2026-01-06
8000261,8000284,München Hbf,Nürnberg Hbf,63,0,,2026-01-06
8000261,8000086,München Hbf,Duisburg Hbf,290,0,,2026-01-06
8000261,8601242,München Hbf,Koebenhavns Lufthavn st,696,6,,2026-01-06
8000261,7100064,München Hbf,Barcelona Sants,864,6,,2026-01-06
8000261,8700012,München Hbf,Paris Lyon Banlieue,387,4,,2026-01-06
8000261,8700047,München Hbf,Bordeaux-St-Jean,528,4,,2026-01-06
8000261,8700074,München Hbf,Marseille-St-Charles,618,2,,2026-01-06
8000261,8700152,München Hbf,Lyon Part Dieu,481,4,,2026-01-06
8000261,8700065,München Hbf,Toulouse-Matabiau,710,8,,2026-01-06
8000261,7800020,München Hbf,Zagreb Glavni kolodvor,544,0,,2026-01-06
8000261,5500728,München Hbf,Budapest-Nyugati,453,5,,2026-01-06
8000261,8300262,München Hbf Gl.5-10,Roma Tiburtina,547,2,,2026-01-06
8000261,8300047,München Hbf Gl.27-36,Milano Porta Garibaldi,456,6,,2026-01-06
8000261,8300522,München Hbf Gl.27-36,Torino Porta Susa,526,8,,2026-01-06
8000261,8300153,München Hbf,Genova Piazza Principe,548,4,,2026-01-06
8000261,8200100,München Hbf,Luxembourg,350,4,,2026-01-06
8000261,8400597,München Hbf,Tilburg,433,6,,2026-01-06
8000261,8400058,München Hbf,Amsterdam Centraal,430,2,,2026-01-06
8000261,8400530,München Hbf,Rotterdam Centraal,441,4,,2026-01-06
8000261,5100065,München Hbf,Warszawa Centralna,568,4,,2026-01-06
8000261,5100028,München Hbf Gl.5-10,Krakow Glowny,594,4,,2026-01-06
8000261,5100069,München Hbf,Wroclaw Glowny,423,4,,2026-01-06
8000261,5100081,München Hbf,Poznan Glowny,423,2,,2026-01-06
8000261,7400002,München Hbf,Stockholm Central,1116,2,,2026-01-06
8000261,7900003,München Hbf,Ljubljana,353,2,,2026-01-06
8000261,5600207,München Hbf,Bratislava hl.st.,323,4,,2026-01-06
8002549,8103000,Hamburg Hbf,Wien Hbf,526,2,,2026-01-06
8002549,8800004,Hamburg Hbf,Bruxelles Midi,383,2,,2026-01-06
8002549,8800007,Hamburg Hbf,Antwerpen Centraal,401,8,,2026-01-06
8002549,5400014,Hamburg Hbf,Praha hl.n.,444,4,,2026-01-06
8002549,8011160,Hamburg Hbf,Berlin Hbf,151,0,,2026-01-06
8002549,8000096,Hamburg Hbf,Stuttgart Hbf,309,0,,2026-01-06
8002549,8000261,Hamburg Hbf,München Hbf,339,0,,2026-01-06
